date	Surinam	Essequibo	Berbice	Demerara
16601001	0.0	4.0	0.0	0.0
16701001	17.0	1.0	1.0	0.0
16801001	32.0	3.0	0.0	0.0
16901001	97.0	2.0	1.0	0.0
17001001	72.0	12.0	0.0	0.0
17131001	96.0	11.0	4.0	0.0
17201001	76.0	8.0	7.0	0.0
17301001	105.0	6.0	11.0	0.0
17401001	181.0	11.0	25.0	0.0
17501001	227.0	10.0	10.0	0.0
17601001	264.0	10.0	17.0	0.0
17701001	344.0	27.0	24.0	23.0
17801001	260.0	36.0	25.0	15.0
17901001	47.0	5.0	0.0	37.0
18001001	53.0	4.0	9.0	15.0
